t,x_a,y_a,z_a,x_b,y_b,z_b,separation
0.30000,-10.187374,-13.768810,24.178716,-10.187374,-13.768810,24.178716,0.0000000086
0.30500,-10.364997,-13.886132,24.564345,-10.364997,-13.886132,24.564345,0.0000000085
0.31000,-10.539246,-13.985617,24.962585,-10.539246,-13.985617,24.962585,0.0000000085
0.31500,-10.709384,-14.065975,25.372223,-10.709384,-14.065975,25.372223,0.0000000084
0.32000,-10.874647,-14.125977,25.791889,-10.874647,-14.125977,25.791889,0.0000000083
0.32500,-11.034252,-14.164471,26.220056,-11.034252,-14.164471,26.220056,0.0000000083
0.33000,-11.187400,-14.180404,26.655047,-11.187400,-14.180404,26.655047,0.0000000082
0.33500,-11.333282,-14.172843,27.095043,-11.333282,-14.172843,27.095043,0.0000000081
0.34000,-11.471086,-14.140998,27.538089,-11.471086,-14.140998,27.538089,0.0000000080
0.34500,-11.600006,-14.084238,27.982110,-11.600006,-14.084238,27.982110,0.0000000079
0.35000,-11.719248,-14.002113,28.424930,-11.719248,-14.002113,28.424930,0.0000000078
0.35500,-11.828040,-13.894369,28.864289,-11.828040,-13.894369,28.864289,0.0000000078
0.36000,-11.925639,-13.760963,29.297866,-11.925639,-13.760963,29.297866,0.0000000077
0.36500,-12.011345,-13.602079,29.723308,-12.011345,-13.602079,29.723308,0.0000000076
0.37000,-12.084504,-13.418127,30.138252,-12.084504,-13.418127,30.138252,0.0000000076
0.37500,-12.144520,-13.209756,30.540362,-12.144520,-13.209756,30.540362,0.0000000075
0.38000,-12.190863,-12.977848,30.927354,-12.190863,-12.977848,30.927354,0.0000000075
0.38500,-12.223080,-12.723516,31.297028,-12.223080,-12.723516,31.297028,0.0000000074
0.39000,-12.240797,-12.448094,31.647299,-12.240797,-12.448094,31.647299,0.0000000074
0.39500,-12.243730,-12.153123,31.976226,-12.243730,-12.153123,31.976226,0.0000000074
0.40000,-12.231689,-11.840330,32.282036,-12.231689,-11.840330,32.282036,0.0000000074
0.40500,-12.204580,-11.511611,32.563152,-12.204580,-11.511611,32.563152,0.0000000074
0.41000,-12.162411,-11.169000,32.818212,-12.162411,-11.169000,32.818212,0.0000000074
0.41500,-12.105292,-10.814641,33.046081,-12.105292,-10.814641,33.046081,0.0000000074
0.42000,-12.033433,-10.450763,33.245871,-12.033433,-10.450763,33.245871,0.0000000074
0.42500,-11.947145,-10.079639,33.416938,-11.947145,-10.079639,33.416938,0.0000000074
0.43000,-11.846834,-9.703560,33.558893,-11.846834,-9.703560,33.558893,0.0000000074
0.43500,-11.732998,-9.324803,33.671592,-11.732998,-9.324803,33.671592,0.0000000074
0.44000,-11.606223,-8.945597,33.755135,-11.606223,-8.945597,33.755135,0.0000000074
0.44500,-11.467169,-8.568097,33.809847,-11.467169,-8.568097,33.809847,0.0000000074
0.45000,-11.316571,-8.194357,33.836271,-11.316571,-8.194357,33.836271,0.0000000074
0.45500,-11.155222,-7.826309,33.835143,-11.155222,-7.826309,33.835143,0.0000000074
0.46000,-10.983969,-7.465742,33.807373,-10.983969,-7.465742,33.807373,0.0000000074
0.46500,-10.803701,-7.114288,33.754025,-10.803701,-7.114288,33.754025,0.0000000073
0.47000,-10.615339,-6.773410,33.676288,-10.615339,-6.773410,33.676288,0.0000000073
0.47500,-10.419826,-6.444396,33.575457,-10.419826,-6.444396,33.575457,0.0000000073
0.48000,-10.218116,-6.128353,33.452906,-10.218116,-6.128353,33.452906,0.0000000072
0.48500,-10.011168,-5.826208,33.310066,-10.011168,-5.826208,33.310066,0.0000000072
0.49000,-9.799936,-5.538712,33.148401,-9.799936,-5.538712,33.148401,0.0000000071
0.49500,-9.585356,-5.266446,32.969393,-9.585356,-5.266446,32.969393,0.0000000070
0.50000,-9.368346,-5.009827,32.774515,-9.368346,-5.009827,32.774515,0.0000000070
0.50500,-9.149795,-4.769119,32.565224,-9.149795,-4.769119,32.565224,0.0000000069
0.51000,-8.930557,-4.544446,32.342940,-8.930557,-4.544446,32.342940,0.0000000068
0.51500,-8.711449,-4.335804,32.109039,-8.711449,-4.335804,32.109039,0.0000000067
0.52000,-8.493243,-4.143074,31.864840,-8.493243,-4.143074,31.864840,0.0000000066
0.52500,-8.276666,-3.966034,31.611599,-8.276666,-3.966034,31.611599,0.0000000065
0.53000,-8.062398,-3.804377,31.350504,-8.062398,-3.804377,31.350504,0.0000000064
0.53500,-7.851065,-3.657721,31.082669,-7.851065,-3.657721,31.082669,0.0000000064
0.54000,-7.643247,-3.525621,30.809137,-7.643247,-3.525621,30.809137,0.0000000063
0.54500,-7.439470,-3.407584,30.530874,-7.439470,-3.407584,30.530874,0.0000000062
0.55000,-7.240209,-3.303079,30.248772,-7.240209,-3.303079,30.248772,0.0000000061
0.55500,-7.045891,-3.211548,29.963651,-7.045891,-3.211548,29.963651,0.0000000060
0.56000,-6.856893,-3.132413,29.676262,-6.856893,-3.132413,29.676262,0.0000000060
0.56500,-6.673545,-3.065088,29.387288,-6.673545,-3.065088,29.387288,0.0000000059
0.57000,-6.496135,-3.008985,29.097348,-6.496135,-3.008985,29.097348,0.0000000058
0.57500,-6.324905,-2.963519,28.807004,-6.324905,-2.963519,28.807004,0.0000000058
0.58000,-6.160058,-2.928118,28.516761,-6.160058,-2.928118,28.516761,0.0000000057
0.58500,-6.001760,-2.902222,28.227074,-6.001760,-2.902222,28.227074,0.0000000057
0.59000,-5.850142,-2.885291,27.938352,-5.850142,-2.885291,27.938352,0.0000000056
0.59500,-5.705303,-2.876807,27.650960,-5.705303,-2.876807,27.650960,0.0000000056
0.60000,-5.567311,-2.876276,27.365227,-5.567311,-2.876276,27.365227,0.0000000056
0.60500,-5.436209,-2.883233,27.081444,-5.436209,-2.883233,27.081444,0.0000000055
0.61000,-5.312015,-2.897237,26.799876,-5.312015,-2.897237,26.799876,0.0000000055
0.61500,-5.194727,-2.917880,26.520757,-5.194727,-2.917880,26.520757,0.0000000055
0.62000,-5.084320,-2.944779,26.244299,-5.084320,-2.944779,26.244299,0.0000000055
0.62500,-4.980757,-2.977585,25.970691,-4.980757,-2.977585,25.970691,0.0000000055
0.63000,-4.883983,-3.015976,25.700108,-4.883983,-3.015976,25.700108,0.0000000056
0.63500,-4.793932,-3.059659,25.432705,-4.793932,-3.059659,25.432705,0.0000000056
0.64000,-4.710529,-3.108370,25.168626,-4.710529,-3.108370,25.168626,0.0000000056
0.64500,-4.633687,-3.161874,24.908005,-4.633687,-3.161874,24.908005,0.0000000056
0.65000,-4.563316,-3.219960,24.650964,-4.563316,-3.219960,24.650964,0.0000000057
0.65500,-4.499318,-3.282444,24.397620,-4.499318,-3.282444,24.397620,0.0000000057
0.66000,-4.441595,-3.349169,24.148085,-4.441595,-3.349169,24.148085,0.0000000058
0.66500,-4.390041,-3.419998,23.902463,-4.390041,-3.419998,23.902463,0.0000000059
0.67000,-4.344556,-3.494818,23.660859,-4.344556,-3.494818,23.660859,0.0000000059
0.67500,-4.305033,-3.573539,23.423375,-4.305033,-3.573539,23.423375,0.0000000060
0.68000,-4.271372,-3.656087,23.190112,-4.271372,-3.656087,23.190112,0.0000000061
0.68500,-4.243472,-3.742411,22.961171,-4.243472,-3.742411,22.961171,0.0000000062
0.69000,-4.221234,-3.832476,22.736657,-4.221234,-3.832476,22.736657,0.0000000063
0.69500,-4.204565,-3.926261,22.516674,-4.204565,-3.926261,22.516674,0.0000000064
0.70000,-4.193374,-4.023764,22.301331,-4.193374,-4.023764,22.301331,0.0000000065
0.70500,-4.187576,-4.124996,22.090741,-4.187576,-4.124996,22.090741,0.0000000066
0.71000,-4.187090,-4.229979,21.885022,-4.187090,-4.229979,21.885022,0.0000000068
0.71500,-4.191841,-4.338749,21.684296,-4.191841,-4.338749,21.684296,0.0000000069
0.72000,-4.201759,-4.451353,21.488692,-4.201759,-4.451353,21.488692,0.0000000070
0.72500,-4.216780,-4.567845,21.298345,-4.216780,-4.567845,21.298345,0.0000000072
0.73000,-4.236847,-4.688291,21.113401,-4.236847,-4.688291,21.113401,0.0000000073
0.73500,-4.261908,-4.812762,20.934009,-4.261908,-4.812762,20.934009,0.0000000075
0.74000,-4.291919,-4.941337,20.760331,-4.291919,-4.941337,20.760331,0.0000000076
0.74500,-4.326838,-5.074098,20.592537,-4.326838,-5.074098,20.592537,0.0000000078
0.75000,-4.366634,-5.211134,20.430807,-4.366634,-5.211134,20.430807,0.0000000080
0.75500,-4.411280,-5.352536,20.275332,-4.411280,-5.352536,20.275332,0.0000000082
0.76000,-4.460754,-5.498397,20.126316,-4.460754,-5.498397,20.126316,0.0000000084
0.76500,-4.515040,-5.648809,19.983974,-4.515040,-5.648809,19.983974,0.0000000086
0.77000,-4.574128,-5.803866,19.848535,-4.574128,-5.803866,19.848535,0.0000000088
