renorm_step,running_lambda
453,0.969140
454,0.989913
455,1.010953
456,1.032136
457,1.053212
458,1.073563
459,1.091575
460,1.103557
461,1.104698
462,1.096159
463,1.081110
464,1.060313
465,1.037172
466,1.015298
467,0.997368
468,0.985502
469,0.983049
470,0.988467
471,0.994297
472,0.995726
473,0.991852
474,0.986104
475,0.983284
476,0.981805
477,0.978494
478,0.972988
479,0.966065
480,0.959125
481,0.955421
482,0.958381
483,0.965224
484,0.970175
485,0.970049
486,0.965203
487,0.960227
488,0.958185
489,0.956069
490,0.951871
491,0.945879
492,0.938929
493,0.932561
494,0.930333
495,0.934776
496,0.941810
497,0.945950
498,0.944716
499,0.939515
500,0.935388
501,0.933509
502,0.930680
503,0.925886
504,0.919704
505,0.912886
506,0.906967
507,0.905594
508,0.910788
509,0.917884
510,0.921544
511,0.919704
512,0.914527
513,0.910951
514,0.908878
515,0.905493
516,0.900421
517,0.894302
518,0.887696
519,0.881836
520,0.880207
521,0.885279
522,0.892541
523,0.896334
524,0.894529
525,0.889537
526,0.886106
527,0.883763
528,0.880124
529,0.875126
530,0.869379
531,0.863166
532,0.856998
533,0.853394
534,0.856392
535,0.863691
536,0.868601
537,0.867844
538,0.863208
539,0.859510
540,0.857016
541,0.853606
542,0.849226
543,0.844481
544,0.839501
545,0.834020
546,0.828105
547,0.824105
548,0.826738
549,0.833151
550,0.835732
551,0.832754
552,0.828402
553,0.825787
554,0.823586
555,0.821191
556,0.819186
557,0.817963
558,0.817405
559,0.817015
560,0.815923
561,0.812964
562,0.807867
563,0.804496
564,0.804925
565,0.802838
566,0.797852
567,0.794563
568,0.794716
569,0.797354
570,0.801839
571,0.807792
572,0.814685
573,0.821800
574,0.828139
575,0.832229
576,0.832286
577,0.828123
578,0.823733
579,0.819917
580,0.813562
581,0.805990
582,0.800553
583,0.799233
584,0.802270
585,0.808913
586,0.817848
587,0.827762
588,0.837482
589,0.845633
590,0.850284
591,0.849573
592,0.844879
593,0.840087
594,0.833765
595,0.825180
596,0.816736
597,0.810655
598,0.807874
599,0.809073
600,0.814618
601,0.823671
602,0.834779
603,0.846760
604,0.858656
605,0.869233
606,0.876442
607,0.877733
608,0.873441
609,0.867308
610,0.858789
611,0.847986
612,0.837562
613,0.829473
614,0.823635
615,0.819286
616,0.816184
617,0.814529
