t,x,y,z
0.63000,-4.883983,-3.015976,25.700108
0.63500,-4.793932,-3.059659,25.432705
0.64000,-4.710529,-3.108370,25.168626
0.64500,-4.633687,-3.161874,24.908005
0.65000,-4.563316,-3.219960,24.650964
0.65500,-4.499318,-3.282444,24.397620
0.66000,-4.441595,-3.349169,24.148085
0.66500,-4.390041,-3.419998,23.902463
0.67000,-4.344556,-3.494818,23.660859
0.67500,-4.305033,-3.573539,23.423375
0.68000,-4.271372,-3.656087,23.190112
0.68500,-4.243472,-3.742411,22.961171
0.69000,-4.221234,-3.832476,22.736657
0.69500,-4.204565,-3.926261,22.516674
0.70000,-4.193374,-4.023764,22.301331
0.70500,-4.187576,-4.124996,22.090741
0.71000,-4.187090,-4.229979,21.885022
0.71500,-4.191841,-4.338749,21.684296
0.72000,-4.201759,-4.451353,21.488692
0.72500,-4.216780,-4.567845,21.298345
0.73000,-4.236847,-4.688291,21.113401
0.73500,-4.261908,-4.812762,20.934009
0.74000,-4.291919,-4.941337,20.760331
0.74500,-4.326838,-5.074098,20.592537
0.75000,-4.366634,-5.211134,20.430807
0.75500,-4.411280,-5.352536,20.275332
0.76000,-4.460754,-5.498397,20.126316
0.76500,-4.515040,-5.648809,19.983974
0.77000,-4.574128,-5.803866,19.848535
0.77500,-4.638013,-5.963659,19.720239
0.78000,-4.706693,-6.128274,19.599345
0.78500,-4.780173,-6.297796,19.486122
0.79000,-4.858459,-6.472299,19.380859
0.79500,-4.941561,-6.651851,19.283857
0.80000,-5.029492,-6.836511,19.195437
0.80500,-5.122268,-7.026324,19.115936
0.81000,-5.219903,-7.221321,19.045707
0.81500,-5.322415,-7.421518,18.985123
0.82000,-5.429819,-7.626911,18.934574
0.82500,-5.542129,-7.837473,18.894468
0.83000,-5.659356,-8.053155,18.865229
0.83500,-5.781510,-8.273880,18.847302
0.84000,-5.908593,-8.499539,18.841146
0.84500,-6.040603,-8.729991,18.847236
0.85000,-6.177527,-8.965055,18.866062
0.85500,-6.319347,-9.204510,18.898129
0.86000,-6.466031,-9.448092,18.943950
0.86500,-6.617536,-9.695483,19.004049
0.87000,-6.773804,-9.946315,19.078955
0.87500,-6.934760,-10.200162,19.169198
0.88000,-7.100310,-10.456535,19.275309
0.88500,-7.270340,-10.714880,19.397809
0.89000,-7.444714,-10.974574,19.537210
0.89500,-7.623268,-11.234920,19.694003
0.90000,-7.805811,-11.495142,19.868655
0.90500,-7.992122,-11.754388,20.061599
0.91000,-8.181947,-12.011719,20.273226
0.91500,-8.374996,-12.266117,20.503875
0.92000,-8.570943,-12.516476,20.753824
0.92500,-8.769420,-12.761608,21.023274
0.93000,-8.970018,-13.000241,21.312346
0.93500,-9.172284,-13.231026,21.621058
0.94000,-9.375718,-13.452539,21.949322
0.94500,-9.579776,-13.663288,22.296922
0.95000,-9.783864,-13.861723,22.663509
0.95500,-9.987340,-14.046247,23.048581
0.96000,-10.189517,-14.215227,23.451477
0.96500,-10.389659,-14.367015,23.871363
